time,id,activity,circumplex.arousal,circumplex.valence,screen,appCat.builtin,appCat.communication,appCat.main,appCat.tools,appCat.contact,mood
2014-03-20,AS14.01,0.08154761904761905,0.1,0.5666666666666667,2275.9440002441406,248.979,2168.229,1158.587,77.592,1.0,6.566666666666666
2014-03-23,AS14.01,0.14274111580506366,0.2,0.8,6773.832001447675,1286.246,5237.319,1038.588,133.29500000000002,1.6666666666666665,6.8
2014-03-26,AS14.01,0.10130832167007592,-0.2,0.6,16423.80100035667,1167.497,8988.753,5554.869000000001,130.863,2.333333333333333,6.6
2014-03-27,AS14.01,0.15951064096909748,0.2,0.8,17442.14999938011,1229.327,6936.512,1799.3899999999999,284.875,3.0,7.0
2014-03-29,AS14.01,0.06820281010186964,0.2,1.0,8322.6219997406,1952.63,2720.692,2100.317,822.6659999999999,5.0,8.0
2014-03-30,AS14.01,0.049092970521542,-0.5,0.75,4523.2140009403265,414.365,1298.505,1703.3619999999999,178.776,5.5,7.5
2014-03-31,AS14.01,0.07050548088338955,0.0,0.6,11836.834000349041,2961.4049999999997,5332.637,3202.0060000000003,691.53,6.0,7.4
2014-04-04,AS14.01,0.12668931120732582,0.2,0.4,12379.411000013357,1957.829,5481.628,3631.424,463.734,3.0,6.2
2014-04-07,AS14.01,0.050670621174317886,-0.6666666666666666,0.25,9846.380999803541,927.377,7355.015,1985.774,436.40600000000006,1.0,6.5
2014-04-09,AS14.01,0.12038411453232876,-0.8,1.0,13558.28900098801,1638.617,6177.076,3767.12,924.0129999999999,4.0,7.4
2014-04-10,AS14.01,0.07896310519489107,-0.4,0.8,9296.09899926186,715.355,4881.411,3057.864,485.606,7.0,7.4
2014-04-11,AS14.01,0.07998620207306052,-1.2,0.8,10526.846000194553,3369.031,3336.592,2667.0379999999996,300.334,7.5,7.0
2014-04-12,AS14.01,0.07224906147031816,-0.75,0.75,11750.809000968928,302.446,6595.083,2450.9139999999998,436.456,8.0,7.25
2014-04-13,AS14.01,0.014021328954370726,-1.25,1.0,2005.7509992122655,447.415,1096.795,366.307,94.209,8.5,8.0
2014-04-15,AS14.01,0.09011215278072526,0.0,0.8,13585.222998380666,1596.356,6224.231,5385.775,398.571,9.0,6.4
2014-04-16,AS14.01,0.11611033612712222,0.75,0.5,12522.47499895096,923.613,5175.016,2339.5860000000002,264.371,1.0,7.2
2014-04-17,AS14.01,0.05691785667209682,-0.4,0.6,15018.48000073434,552.201,11853.339,2249.387,103.481,2.0,6.6
2014-04-18,AS14.01,0.09403300669497609,-0.8,0.8,13490.728999614706,1860.8980000000001,5341.657,2887.4390000000003,200.34300000000002,1.0,6.8
2014-04-19,AS14.01,0.09943191172384026,-0.2,1.0,13293.2480006218,946.1899999999999,2728.26,990.659,466.168,1.0,7.8
2014-04-20,AS14.01,0.07481624304311596,-0.25,0.75,8343.518000364307,897.086,4984.724,2975.84,155.237,4.0,7.25
2014-04-21,AS14.01,0.10204105896824717,-0.25,1.0,3832.9909992218018,3442.2319999999995,2004.347,537.1179999999999,337.209,2.0,7.6
2014-04-22,AS14.01,0.09192955182229205,0.2,1.0,15490.269999265669,2212.954,11360.913,2562.018,486.375,2.0,7.4
2014-04-23,AS14.01,0.04598568913376553,0.2,1.0,14535.339999437334,1130.8419999999999,8928.472,892.076,289.342,1.0,7.6
2014-04-25,AS14.01,0.10906106363682745,-0.2,0.8,13973.941999673845,817.613,7279.144,2899.5969999999998,480.137,3.0,7.2
2014-05-03,AS14.01,0.07174088489517204,-0.2,1.0,8186.036000728605,753.2570000000001,4539.776,3263.865,339.907,1.0,8.0
2014-05-04,AS14.01,0.13619180837703837,-0.5,1.0,5889.194999456405,1758.438,3381.6890000000003,1423.0829999999999,35.525,1.0,8.0
2014-05-05,AS14.01,0.007842595452107337,-0.5,1.0,1788.7339999675771,438.347,826.7869999999999,343.618,264.331,1.0,8.0
2014-03-18,AS14.02,0.21948438425543756,0.6,0.8,4512.4710013866425,2604.5209999999997,3933.081,301.307,88.72200000000001,16.0,8.2
2014-03-19,AS14.02,0.31563175685064315,0.4,0.4,8182.757000207905,1554.558,2596.989,243.954,672.701,6.0,6.8
2014-03-20,AS14.02,0.23902496021034736,-0.5,0.75,4360.33400130272,1777.977,2154.371,279.778,86.857,11.0,7.25
2014-03-24,AS14.02,0.15612466250149995,0.2,-0.2,2766.6489994525905,1073.496,3012.181,764.8140000000001,81.80799999999999,5.0,6.4
2014-03-25,AS14.02,0.23051365485645373,-1.25,0.75,4637.388000011446,2806.931,2788.751,608.036,50.375,7.0,7.75
2014-03-30,AS14.02,0.24188730879396786,-1.0,0.75,3937.0419988632193,772.787,1110.856,1601.4950000000001,113.22800000000001,11.0,7.0
2014-04-01,AS14.02,0.26196053218905446,-0.2,0.8,3297.737997055054,2790.014,1322.61,268.097,531.613,3.0,7.4
2014-04-02,AS14.02,0.3191205617996335,-0.6,-0.2,6883.828001737594,1964.21,2942.423,1339.355,128.744,2.0,6.4
2014-04-03,AS14.02,0.32250583990998866,-0.25,0.0,6814.30000090599,1269.299,3595.431,671.2080000000001,374.426,2.0,5.75
2014-04-04,AS14.02,0.22727035660896047,-1.2,0.2,3653.370000839234,1121.689,2809.436,951.048,148.852,5.0,6.4
2014-04-08,AS14.02,0.26195103762156396,-0.25,0.5,4079.151999473574,1184.778,2265.855,829.733,134.434,11.0,6.25
2014-04-09,AS14.02,0.24720984804489024,-0.5,0.25,5757.426000595091,1427.022,2255.545,921.557,61.397,13.0,7.25
2014-04-10,AS14.02,0.2607506038432931,0.25,0.75,7844.238998651505,1303.452,2726.237,1262.131,668.372,2.0,7.25
2014-04-11,AS14.02,0.4244814273084369,-0.5,0.5,5810.030001163483,1548.192,2343.793,1020.3689999999999,767.057,8.0,6.5
2014-04-13,AS14.02,0.28982011828279997,-0.6,0.4,2174.8709976673135,510.913,855.219,494.591,238.75799999999998,1.0,7.2
2014-04-15,AS14.02,0.1736288831786874,-0.5,0.5,701.2870004177095,98.266,445.91700000000003,45.044000000000004,238.75799999999998,15.0,7.25
2014-04-16,AS14.02,0.3532763532763534,-0.3333333333333333,0.3333333333333333,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,17.0,6.666666666666667
2014-04-18,AS14.02,0.2831366164699499,0.0,0.0,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,3.0,6.5
2014-04-21,AS14.02,0.21299687966354647,-0.5,-0.5,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,8.0,5.5
2014-04-23,AS14.02,0.142857142857143,0.0,0.5,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,8.0,5.5
2014-03-26,AS14.03,0.0911532011403041,0.5,1.0,3985.9769988059993,118.63900000000001,1294.789,2463.6980000000003,93.16900000000001,1.0,8.25
2014-04-05,AS14.03,0.11442793762963631,1.2,1.0,3852.6619989871942,263.059,1110.404,2402.2999999999997,80.55799999999999,6.0,7.6
2014-04-07,AS14.03,0.14406393678902962,0.2,1.0,5035.644999742507,596.011,1787.445,2726.69,154.846,2.0,7.4
2014-04-09,AS14.03,0.0921222333052219,0.6,1.0,1773.7219996452325,23.843000000000004,763.865,1032.365,124.674,3.333333333333333,7.8
2014-04-11,AS14.03,0.12018808327176551,0.2,1.0,4983.920999288563,102.15899999999999,1698.898,3154.798,386.948,4.666666666666666,7.6
2014-04-15,AS14.03,0.11955499852139129,0.2,0.8,3964.784998178483,726.5,2245.302,1856.067,112.31700000000001,6.0,7.6
2014-04-16,AS14.03,0.11476816921494709,0.8,1.0,5334.56700015068,244.239,1454.301,3532.363,221.27,2.0,8.0
2014-04-22,AS14.03,0.09285561446082308,0.4,0.8,3493.3910002708435,126.094,1806.502,2381.933,96.599,1.5,7.6
2014-04-23,AS14.03,0.1203897193369119,0.6,0.8,4272.427999734879,145.374,1479.562,2552.8650000000002,82.68299999999999,1.0,7.0
2014-04-24,AS14.03,0.10600109223606825,-0.2,1.0,4893.604000329971,115.675,2815.141,1800.461,176.453,1.0,7.4
2014-04-28,AS14.03,0.08262849034113322,-1.4,1.0,3365.22000002861,118.209,2852.19,3533.5150000000003,77.45,1.0,7.0
2014-04-30,AS14.03,0.08969224082903049,-1.2,1.0,4097.972999095916,191.088,1863.695,2006.694,142.977,3.0,7.0
2014-05-03,AS14.03,0.1389189314363011,-0.4,1.0,7432.300000190738,550.479,924.108,3330.291,153.138,5.0,7.75
2014-05-04,AS14.03,0.06616240664834475,-1.2,0.8,3048.189000368119,80.634,192.14600000000002,2692.839,79.17599999999999,4.0,7.4
2014-05-06,AS14.03,0.0864344417491167,-0.9333333333333333,0.9,1786.1979990005495,568.458,980.4499999999999,466.711,12.061,2.0,7.533333333333333
2014-05-07,AS14.03,0.09445035643820726,-0.6666666666666666,1.0,3511.5200004577637,719.6809999999999,1327.231,1198.903,297.33500000000004,2.0,7.666666666666667
2014-03-17,AS14.05,0.08337052096204704,-0.4,0.4,5613.824001312256,839.597,1774.029,1020.822,174.668,2.0,6.0
2014-03-19,AS14.05,0.13369126492653632,1.0,0.75,6095.810001134871,235.80700000000002,4320.741,1031.177,160.88000000000002,1.5,6.75
2014-03-20,AS14.05,0.11845679938612319,1.0,0.8,4862.865999221802,122.208,4486.863,512.418,157.196,1.0,7.2
2014-03-21,AS14.05,0.050197722898856136,0.0,1.0,3032.3189995288863,393.794,2267.379,375.79200000000003,53.848,5.0,7.25
2014-03-26,AS14.05,0.039236509193725615,-0.5,0.25,8523.028999567037,176.916,7550.9,715.528,217.99,1.0,5.5
2014-03-29,AS14.05,0.10442318185053041,-0.4,1.0,2506.7190003395085,473.51,1584.78,345.242,171.06400000000002,4.0,6.4
2014-03-30,AS14.05,0.07491950961612633,-0.8,0.8,4132.284999370574,194.232,3235.621,360.442,245.233,4.0,6.2
2014-03-31,AS14.05,0.05534132176899743,-0.4,1.0,1278.2409992218008,110.37700000000001,581.754,1269.714,444.276,2.0,6.8
2014-04-01,AS14.05,0.07812598561494999,0.0,1.0,4642.2749993801135,459.605,2799.0969999999998,1275.554,140.298,2.0,7.0
2014-04-02,AS14.05,0.07312614127423468,-0.2,1.0,3362.5429990291605,388.53000000000003,1747.588,960.305,298.449,2.0,7.0
2014-04-03,AS14.05,0.05275148533518809,-1.0,0.8,4592.4509990215265,707.5649999999999,3026.877,896.674,86.589,2.0,7.2
2014-04-06,AS14.05,0.07736263815327492,-0.4,1.0,4267.385000228884,229.397,3604.419,893.7019999999999,138.891,2.0,6.8
2014-04-07,AS14.05,0.06685869441897198,-0.25,0.75,5002.378999710086,471.08299999999997,4020.034,348.513,156.375,1.0,6.75
2014-04-09,AS14.05,0.1536189527904702,0.25,0.75,7907.565998554234,498.626,6228.592,938.6149999999999,235.499,1.0,7.0
2014-04-11,AS14.05,0.0946152502759936,0.2,0.6,5875.098001003268,1013.046,4781.4,645.361,106.028,2.0,7.0
2014-04-12,AS14.05,0.04929885725426735,-1.4,1.0,9284.78499865532,374.492,7058.309,1298.625,289.672,3.0,7.0
2014-04-14,AS14.05,0.1017234451157769,-1.2,0.4,4047.472999811173,624.276,1498.658,1530.608,469.11999999999995,2.75,6.4
2014-04-16,AS14.05,0.10564943114617577,-0.6,0.8,1779.0359995365131,224.474,1065.002,697.596,149.665,2.5,7.2
2014-04-17,AS14.05,0.11503845562252696,0.4,0.6,5463.500999689104,582.436,4081.767,1271.091,167.243,2.25,6.6
2014-04-19,AS14.05,0.06088698983560529,-0.8,0.8,2441.471001625062,116.467,1140.55,948.1850000000001,232.62500000000003,2.0,7.2
2014-04-20,AS14.05,0.03538299274192724,-1.2,1.0,7613.729999780657,372.859,4990.249,2090.799,336.651,2.0,7.2
2014-04-22,AS14.05,0.06284797975562106,0.4,1.0,4750.197001934052,525.8,2224.006,1731.554,261.863,2.0,7.2
2014-04-23,AS14.05,0.0809468968896285,-1.0,1.0,4737.818998575209,244.856,3439.813,1854.156,189.44400000000002,1.0,7.2
2014-04-24,AS14.05,0.0393710661860602,-0.75,1.0,5063.6640005111685,440.23600000000005,3924.221,643.041,117.47400000000002,1.0,7.2
2014-04-27,AS14.05,0.018822482895967975,-0.6,1.0,3046.8400008678445,130.072,3169.602,753.108,296.33299999999997,1.0,7.4
2014-04-28,AS14.05,0.01030462752911947,-0.6,1.0,6057.330000400542,427.954,4711.91,1244.2440000000001,232.623,1.0,7.0
2014-04-30,AS14.05,0.06160851782272659,-0.6,1.0,3712.8329997062674,31.581,2949.287,448.73900000000003,277.656,2.666666666666667,7.0
2014-05-01,AS14.05,0.025292275106005607,-0.2,1.0,5083.854998826981,343.089,4160.492,585.6590000000001,139.338,4.333333333333334,6.8
2014-05-03,AS14.05,0.05447085148853847,0.25,1.0,3715.250999212267,489.999,2458.4139999999998,882.476,282.68699999999995,6.0,6.75
2014-05-04,AS14.05,0.07258033493084995,0.25,1.0,4132.476999044419,177.708,3289.885,341.639,240.28199999999998,2.0,7.0
2014-03-27,AS14.06,0.1323286052009456,0.25,0.25,8167.157000541684,523.6959999999999,4045.84,3534.797,55.647999999999996,1.0,7.0
2014-03-29,AS14.06,0.11158088235294117,0.0,1.0,3907.130999803545,32.411,1881.483,2044.078,101.467,3.0,7.8
2014-03-30,AS14.06,0.21129785247432312,0.0,0.8,8933.720999002453,1874.664,549.846,6516.3150000000005,49.25000000000001,5.0,7.8
2014-03-31,AS14.06,0.16060545689131747,-0.2,0.4,7504.32200050354,2017.195,2061.095,5143.749,49.306,1.0,7.0
2014-04-01,AS14.06,0.22585362340247242,0.0,0.75,8370.869999647139,1351.4840000000002,4034.721,3866.594,56.760999999999996,3.0,7.75
2014-04-02,AS14.06,0.1625525210084034,-0.6,0.4,9183.50400090218,597.655,4435.702,4431.204,80.816,4.0,6.8
2014-04-03,AS14.06,0.20957389809629753,0.0,0.4,7130.967000246047,509.24,3895.875,3201.315,222.28699999999998,2.0,7.2
2014-04-04,AS14.06,0.1495238095238096,-0.4,0.2,9345.66300010681,859.879,3580.079,5966.402,591.694,2.0,7.0
2014-04-05,AS14.06,0.29227390180878554,-0.4,0.8,4097.588000059132,537.624,1395.313,3196.814,201.263,2.0,7.0
2014-04-06,AS14.06,0.020425724637681136,-1.0,0.4,5300.54499936104,760.537,886.779,3575.7059999999997,76.721,1.0,7.0
2014-04-07,AS14.06,0.19494720965309198,-0.6,0.0,6208.289999485022,402.886,3437.375,2856.288,80.906,3.0,6.2
2014-04-12,AS14.06,0.23391223155929042,0.4,1.0,4206.082000732421,257.655,682.347,3082.635,177.861,2.5,8.2
2014-04-14,AS14.06,0.17874293785310738,-0.25,0.75,4463.4839992523175,1113.333,2002.915,1302.05,38.558,2.0,7.25
2014-04-15,AS14.06,0.20056360708534618,-0.4,0.6,6740.1799998283395,1489.296,3870.255,3942.974,89.231,6.0,7.0
2014-04-18,AS14.06,0.14621547543748678,-1.0,0.5,7052.253001213076,714.672,3474.757,2981.4359999999997,389.81499999999994,3.0,6.25
2014-04-19,AS14.06,0.09826388888888893,0.2,0.6,5234.979000806809,596.8720000000001,3080.599,1377.373,178.113,4.0,6.8
2014-04-20,AS14.06,0.029657567049808403,0.6,0.8,5498.4280004501325,105.115,1344.616,4198.407999999999,52.714,2.5,8.2
2014-04-21,AS14.06,0.07823937267214573,0.2,0.6,7144.265999794008,36.102,2974.157,4721.702,203.88,1.0,7.0
2014-04-25,AS14.06,0.26499999999999996,-1.0,0.4,8179.014999866491,808.688,3095.93,5044.896,303.854,3.0,6.4
2014-04-27,AS14.06,0.05971583946078428,-0.6,1.0,1710.3350005149846,429.4755,529.021,1062.74,219.19599999999997,2.6666666666666665,7.2
2014-04-28,AS14.06,0.17232443482443488,-0.25,0.5,6545.04800081253,50.263,4157.267,2719.661,29.229,2.3333333333333335,6.75
2014-04-29,AS14.06,0.1751971158833905,0.0,1.0,8530.252000808712,1423.8790000000001,4224.186,6525.683999999999,40.293,2.0,7.25
2014-04-30,AS14.06,0.10888427751577055,-0.6,0.6,8637.355999231337,788.811,3771.92,4101.271,106.304,1.0,6.8
2014-05-01,AS14.06,0.3267268445839875,0.0,1.0,3277.344000101089,290.615,1144.89,2894.134,319.842,2.0,8.0
2014-05-02,AS14.06,0.18526365348399243,-0.75,1.0,6839.912998199464,915.983,2552.237,3078.68,307.834,4.0,7.2
2014-05-03,AS14.06,0.2202587145969499,-0.75,0.0,1446.6239998340611,4.009,995.107,853.067,75.887,3.0,6.25
2014-05-05,AS14.06,0.082037037037037,-0.6666666666666666,0.6666666666666666,5316.622999906539,24.224,2457.7290000000003,2745.5860000000002,87.913,2.0,7.0
2014-05-06,AS14.06,0.12715530656707127,-0.8333333333333333,0.8333333333333333,8128.75799894333,250.91199999999998,4816.999,4403.262,40.743,1.0,7.0
2014-05-08,AS14.06,0.0,-1.0,1.0,8128.75799894333,250.91199999999998,303.46299999999997,78.52799999999999,40.743,1.0,7.0
2014-03-26,AS14.07,0.10329373128561768,0.2,0.6,9189.55200004578,2381.75,4506.427,1945.212,307.66,12.0,6.6
2014-03-27,AS14.07,0.08970024791525805,0.2,0.4,9708.778999090195,1945.115,4822.297,2513.56,112.04599999999999,10.0,6.8
2014-03-28,AS14.07,0.09809984248895876,0.25,1.5,12984.041001558304,2655.3269999999998,4794.411,4080.839,1198.16,1.0,8.25
2014-03-30,AS14.07,0.0625734602553756,0.2,0.0,8739.792000055313,1742.202,4133.7029999999995,1867.962,337.074,3.0,6.2
2014-03-31,AS14.07,0.051366076733723814,-1.0,0.0,13187.446000099182,1666.65,4982.926,6109.054,256.023,6.0,4.333333333333333
2014-04-03,AS14.07,0.09026347679477341,-0.4,0.2,8073.050000190733,1054.542,4238.5650000000005,4585.491,310.735,5.0,6.2
2014-04-06,AS14.07,0.05631576348488113,-0.75,1.0,7656.6060009002695,882.906,2782.046,4001.492,111.167,5.0,6.75
2014-04-08,AS14.07,0.07680102095483002,-0.4,0.6,9726.615999460217,863.043,7209.865,1334.468,593.076,1.0,6.8
2014-04-09,AS14.07,0.0707902001380262,-1.0,0.6,13731.39099931717,828.236,2320.953,1825.779,121.905,4.0,6.4
2014-04-10,AS14.07,0.0989583333333333,0.4,0.0,5612.3310008049075,790.477,1210.962,3556.874,63.328,10.0,6.2
2014-04-11,AS14.07,0.06868288982259571,0.5,-1.0,2235.2060010433183,409.214,1436.89,90.485,295.512,1.0,3.5
2014-04-13,AS14.07,0.01631944444444443,-0.25,1.0,8132.0510020256115,728.656,2883.754,2949.9750000000004,42.219,5.0,6.5
2014-04-14,AS14.07,0.03335375816993464,-0.2,0.4,4822.974000215535,862.117,2134.432,3264.3199999999997,91.556,3.0,6.2
2014-04-15,AS14.07,0.019623337804315216,-0.75,0.5,8726.610999822617,459.628,5490.562,2701.316,72.477,2.0,6.0
2014-04-17,AS14.07,0.11809086629001884,-1.2,-0.4,7809.418999671931,1242.158,3915.546,2608.799,75.227,1.0,3.8
2014-04-18,AS14.07,0.047270114942528745,-1.0,-0.4,6566.541000366214,906.605,3556.02,1653.6419999999998,142.871,3.0,5.2
2014-04-19,AS14.07,0.003125470618354867,0.25,0.75,2050.9950006008153,219.009,1084.321,523.266,94.744,2.5,7.0
2014-04-22,AS14.07,0.09099018199233717,-0.2,0.4,5708.751999616626,1053.4660000000001,2729.994,1769.214,120.341,2.0,6.0
2014-04-23,AS14.07,0.07537353651992687,-0.6666666666666666,0.0,11782.639000177385,1455.674,7785.343,1893.044,645.6089999999999,5.0,6.0
2014-04-24,AS14.07,0.15798611111111105,-0.6,0.4,3173.6349997520447,446.687,3558.812,214.721,167.796,4.0,5.6
2014-04-26,AS14.07,0.018915739069801873,-0.4,-0.2,7633.689001798637,879.059,4805.511,1265.408,629.97,3.0,5.4
2014-04-27,AS14.07,0.013407752824023426,-0.6,0.4,9327.362001657482,591.766,4909.536,2275.016,233.213,2.0,6.0
2014-04-29,AS14.07,0.13463824767244986,-2.0,0.0,6649.512000322342,2796.391,6168.858,1818.0590000000002,227.464,10.0,5.0
2014-05-01,AS14.07,0.10358452683650247,-1.6666666666666667,-0.3333333333333333,5441.058000802992,474.879,4111.217000000001,1249.495,130.70499999999998,5.5,5.0
2014-05-03,AS14.07,0.07569444444444444,-0.6666666666666666,0.0,1797.8099997043612,290.056,294.10699999999997,1175.578,37.375,1.0,5.666666666666667
2014-05-04,AS14.07,0.08229166666666671,-1.0,1.0,2201.7170004844656,529.433,2160.107,404.96299999999997,9.085,1.0,8.0
2014-05-05,AS14.07,0.08229166666666671,-1.5,0.5,2201.7170004844656,529.433,2160.107,404.96299999999997,9.085,1.0,5.5
2014-03-18,AS14.08,0.028491361781937872,-0.2,0.6,1318.1699995994566,5.92,716.8960000000001,546.227,47.137,1.6666666666666667,6.4
2014-03-19,AS14.08,0.0630171632209882,-0.2,1.0,1827.459999084472,49.837,1011.7099999999999,681.708,82.55799999999999,1.0,7.0
2014-03-21,AS14.08,0.00894230236465267,-0.4,0.6,2857.9249997138977,215.864,2477.42,1085.183,100.497,4.0,6.6
2014-03-24,AS14.08,0.04630791276266164,-0.8,1.0,1967.9929997920997,14.427,194.055,1700.212,63.086,2.5,6.8
2014-03-25,AS14.08,0.016897661842514778,-0.6,1.0,726.2829999923706,73.604,1469.956,530.451,46.93600000000001,1.0,7.2
2014-03-26,AS14.08,0.08950139311864187,-0.25,0.5,1818.4510009288792,330.846,895.011,687.572,57.00699999999999,5.0,6.5
2014-03-29,AS14.08,0.024944120627437023,-0.16666666666666666,1.0,1191.82900071144,46.795,536.168,510.39,61.195,2.0,7.166666666666667
2014-03-30,AS14.08,0.0784470781932718,0.0,0.6,779.8929989337921,9.926,218.915,506.55500000000006,43.082,2.0,6.8
2014-03-31,AS14.08,0.07893465181771635,0.0,1.2,1670.5409996509547,3.048,1230.323,477.60600000000005,64.701,2.0,7.6
2014-04-01,AS14.08,0.062353854585312354,-1.0,1.0,2074.4190006256113,28.205000000000002,1623.59,1066.422,62.794000000000004,2.0,7.2
2014-04-02,AS14.08,0.008289547359385422,-0.4,0.8,696.810000658035,33.864,1809.842,227.34,71.88,2.0,6.6
2014-04-04,AS14.08,0.031123972587273636,0.25,1.25,1265.5080008506782,168.297,863.472,1643.455,43.54,2.0,7.5
2014-04-05,AS14.08,0.12841414141414143,0.2,1.2,1735.447999954224,8.64,951.8109999999999,710.429,63.718999999999994,1.75,7.4
2014-04-06,AS14.08,0.007280235288804587,0.0,1.25,1296.008000373841,69.105,331.962,543.849,45.451,1.5,7.6
2014-04-08,AS14.08,0.05814829222796919,-0.25,0.5,2564.4870009422293,67.864,1572.274,1172.097,87.851,1.25,6.5
2014-04-11,AS14.08,0.07413554916192037,0.6,1.0,1581.9210007190707,51.944,452.748,1022.4680000000001,51.126,1.0,7.6
2014-04-15,AS14.08,0.03409090909090908,-0.8,0.6,3149.47799921036,313.846,2067.439,747.906,54.181,1.0,6.4
2014-04-16,AS14.08,0.06859735641438541,-0.6,0.8,1724.2629995346065,122.282,853.409,666.307,78.719,1.0,6.6
2014-04-18,AS14.08,0.049041986144740375,-0.4,0.6,936.6079995632168,8.937000000000001,178.033,678.915,67.792,1.0,6.0
2014-04-22,AS14.08,0.07739994303879248,-0.6,0.4,1819.2249996662135,109.492,795.312,864.347,46.998000000000005,1.0,6.0
